,Resample,RMSLE,beta,d_I,p,c,d_T,r,k_T,K,U_0,I_0,V_0,T_0
188,189.0,1.0745232612009328,6.636151806068598e-05,3.239728922492421e-07,1.0,18.20551017859799,0.07003190421042937,0.3269443585618106,10.000052601099014,1.2993334247002054e-07,1000000.0,0.0,25.0,337982.6666666667
189,190.0,1.0871299197232203,3.725184286200289e-05,4.5369788457623645e-07,1.0,9.661101318606477,0.00010004527828705312,0.18760368569036956,30.987757585942745,1.5048334359182521e-07,1000000.0,0.0,25.0,616873.3333333334
190,191.0,1.1498114451613,4.990377532855012e-05,3.9033879747388223e-07,1.0,13.752747085231078,0.004560354531729094,0.22410003649446253,10.000215545296669,1.7757445090428652e-07,1000000.0,0.0,25.0,477428.0
191,192.0,1.1558658258367682,3.298053731869941e-05,4.172668881506308e-07,1.0,8.833784085382042,0.00010000056696579662,0.23741930378368892,26.019367590546608,1.2809585594862226e-07,1000000.0,0.0,25.0,477428.0
192,193.0,0.9510026034503971,3.919773892595157e-05,4.3004618726428026e-07,1.0,10.125831434865098,0.00010475721266822724,0.21734800334125737,10.013472124934196,1.8213297905505355e-07,1000000.0,0.0,25.0,477428.0
193,194.0,1.1585779156543565,3.6670401138464676e-05,4.936529956727084e-07,1.0,10.071372882557021,0.00010001140087456672,0.17397046662836146,91.09531448036432,1.5955283408629903e-10,1000000.0,0.0,25.0,715836.0
194,195.0,1.0571891230144599,4.462609556084833e-05,4.796576685549641e-07,1.0,11.644775826231708,0.00010002351693194633,0.1765468651956965,15.272812612354755,2.1011415024061727e-07,1000000.0,0.0,25.0,576390.6666666666
195,196.0,1.0443377998415837,4.7885416378266663e-05,4.1599059854015535e-07,1.0,12.607312319164926,0.00010000237843077464,0.22971934100384317,53.87572614103556,4.570439923900794e-08,1000000.0,0.0,25.0,517910.6666666667
196,197.0,1.0694495279962557,4.2386198713470704e-05,4.844305157938764e-07,1.0,10.330537451126226,0.00010000592723319324,0.18843656889136184,10.00000924617052,1.5132896138705346e-07,1000000.0,0.0,25.0,517910.6666666667
197,198.0,1.1323755888798879,6.260989137684972e-05,3.791750064167113e-07,1.0,15.758080525230966,0.00010002753608717718,0.2153391839491121,10.000774294137955,2.0546484393990633e-07,1000000.0,0.0,25.0,477428.0
198,199.0,1.0932910753215805,3.9804355663071084e-05,4.967526842183888e-07,1.0,10.639233135381552,0.00010000045052244166,0.20142363275470387,14.050992645323277,1.809015308294084e-07,1000000.0,0.0,25.0,477428.0
199,200.0,1.0682252279770286,4.621187471196287e-05,4.371949618285783e-07,1.0,12.341772233085628,0.00010280830485387416,0.20505850838836892,21.75653574615717,1.7149091494133634e-07,1000000.0,0.0,25.0,517910.6666666667
200,201.0,1.0371077388786536,4.1717375769940426e-05,3.4238583498146847e-07,1.0,11.680709667129044,0.024735655076638385,0.29882198010482597,189.02645814418793,5.4973410243722935e-11,1000000.0,0.0,25.0,517910.6666666667
201,202.0,1.0752236143862868,1.5003830086721892e-05,3.7012835290957608e-06,1.0,1.4748331259236949,0.06887258781521505,0.2983264794226912,10.000000149011612,2.1581132559798325e-07,1000000.0,0.0,25.0,378465.3333333333
202,203.0,1.1599756119911624,4.736878175847352e-05,4.260384099796704e-07,1.0,13.045476469992423,0.00010112468525141916,0.19905724973960304,26.751567609608173,1.312091346080172e-07,1000000.0,0.0,25.0,576390.6666666666
203,204.0,1.0357527238471937,2.5287051997837436e-05,3.8948873126596e-07,1.0,2.3558361545024837,0.00010000090062378675,0.20436739889205313,70.10229124128819,1.3261427466106546e-06,1000000.0,0.0,25.0,616873.3333333334
204,205.0,1.1416534886143663,5.043105976662372e-05,5.732711808735766e-07,1.0,13.698931691157512,0.00010305979651553665,0.22380186217114328,10.000006034970284,1.502457938854724e-07,1000000.0,0.0,25.0,337982.6666666667
205,206.0,1.1177521061308269,4.112708648445321e-05,5.044814246592122e-07,1.0,10.541555689317732,0.00010047463994683481,0.17458802651309213,37.058894984424114,1.580221117761154e-07,1000000.0,0.0,25.0,616873.3333333334
206,207.0,1.0986272350826523,4.08132626174291e-05,5.134288873017312e-07,1.0,10.671996288918805,0.00010423169605755511,0.1807702454721678,10.041748404502869,2.2764631068108375e-07,1000000.0,0.0,25.0,517910.6666666667
207,208.0,1.043556744636073,5.071330232692808e-05,4.3989991831516035e-07,1.0,13.217962410788502,0.0181635485327174,0.21491631984427784,10.000002190470695,1.7790714043189245e-07,1000000.0,0.0,25.0,477428.0
208,209.0,0.998414579885453,5.625555319208667e-05,3.766898111327865e-07,1.0,14.323865215601082,0.0001000126809710955,0.2477892567377893,36.757694236934185,1.378771793006606e-07,1000000.0,0.0,25.0,436945.3333333333
209,210.0,1.1406302660830236,4.9833489210605364e-05,4.0916933845049763e-07,1.0,12.716738010918874,0.00010000088885175895,0.22743547221104876,43.31271484494209,1.6560491375296833e-07,1000000.0,0.0,25.0,477428.0
210,211.0,1.18897239296495,1.5960967137060564e-05,3.903352381271623e-06,1.0,1.3691537773514781,0.05820466227530041,0.26318362765672276,10.000000663101673,2.799577816519036e-07,1000000.0,0.0,25.0,378465.3333333333
211,212.0,1.2120755023694925,5.213285987056733e-05,4.480083765705009e-07,1.0,14.319638698681175,0.00010000196977266729,0.22480203891952755,144.50969843566418,5.969823803274142e-08,1000000.0,0.0,25.0,517910.6666666667
212,213.0,1.152176137247407,5.1647437943271114e-05,4.397155903584197e-07,1.0,13.550531765274002,0.02633670064003002,0.26237593338641574,10.000006012618542,2.166522476889301e-07,1000000.0,0.0,25.0,337982.6666666667
213,214.0,1.1840817321495622,5.795932127043092e-05,4.5421863729708196e-07,1.0,16.251412467557593,0.0001001083945413872,0.20590990974765333,10.000167191028595,1.1563067485126588e-07,1000000.0,0.0,25.0,477428.0
214,215.0,1.0153005976928586,5.166558991778749e-05,3.989826268045214e-07,1.0,13.355489323821999,0.01597184609597646,0.2402905927593295,10.002005323767662,2.1365777523253595e-07,1000000.0,0.0,25.0,418948.0
215,216.0,1.16708084164418,5.439183988490773e-05,4.866533541190047e-07,1.0,14.728941114747869,0.04745573604601061,0.2654184025652029,10.000000797212124,1.7500762583041166e-07,1000000.0,0.0,25.0,337982.6666666667
216,217.0,1.0446846532685514,5.142806122584131e-05,4.0898992031548556e-07,1.0,13.019387643701563,0.00010000019432793161,0.19349616805870085,45.835234984755516,1.2513772554234527e-07,1000000.0,0.0,25.0,616873.3333333334
217,218.0,1.074795084240277,3.816109690533656e-05,5.41967294955716e-07,1.0,9.918322623250027,0.00010041203068944515,0.1641246202077653,10.000005945563316,2.1557480714290704e-07,1000000.0,0.0,25.0,576390.6666666666
218,219.0,1.0688812196571142,4.016421487061788e-05,4.2678026242765895e-07,1.0,10.535158555486518,0.06265622233096874,0.2858737412096204,10.000024870038033,1.5043357855820563e-07,1000000.0,0.0,25.0,378465.3333333333
219,220.0,1.1170501409861886,3.938952765831361e-05,4.831238252227282e-07,1.0,10.352780026448123,0.040458997160497445,0.25758071564744967,10.000001303851604,1.6366266017559108e-07,1000000.0,0.0,25.0,378465.3333333333
220,221.0,1.1683483609686416,3.617786334218803e-05,5.181000523536946e-07,1.0,9.391380198353389,0.00010015445769262499,0.24263264413652763,10.000331535935402,1.2684750455109462e-07,1000000.0,0.0,25.0,337982.6666666667
221,222.0,0.9996160416298541,2.2591486781764353e-05,3.600871634118946e-07,1.0,2.8771774299012733,0.00010016593659945006,0.2361666158471749,10.000109761953354,1.3324181336141046e-06,1000000.0,0.0,25.0,418948.0
222,223.0,1.0704165147483842,5.555641647793152e-05,4.7579214515579006e-07,1.0,13.434429836207137,0.00010000312047581117,0.15828252980887214,10.000000931322575,1.3145314780174878e-07,1000000.0,0.0,25.0,616873.3333333334
223,224.0,1.0897340307050278,4.487386906828108e-05,4.129816756478301e-07,1.0,12.37826517583541,0.09512848717808037,0.340360400708569,10.000007145106792,1.515189939998681e-07,1000000.0,0.0,25.0,297500.0
224,225.0,1.1065974223773918,4.6701754520045055e-05,4.5377004156505553e-07,1.0,12.236869325553997,0.00010079173630672678,0.2151489305197387,10.002463012933731,1.8387125011673104e-07,1000000.0,0.0,25.0,436945.3333333333
225,226.0,1.0189921512479114,4.5484865131920726e-05,5.091317858779779e-07,1.0,11.013014562108658,0.00010023238774781174,0.20444603104383674,10.000011503696442,2.2482668369354917e-07,1000000.0,0.0,25.0,418948.0
226,227.0,1.0319883148450915,5.301940024984939e-05,5.067571954717472e-07,1.0,14.18877974342302,0.00010097368318900957,0.18363812550614256,10.000157229602337,2.7195175253855414e-07,1000000.0,0.0,25.0,477428.0
227,228.0,1.0941338136140106,1.690169099466047e-05,4.801056223166026e-06,1.0,1.3580068996237102,0.03574679218298682,0.2725501902423133,15.9092658162117,2.1271860995197752e-07,1000000.0,0.0,25.0,378465.3333333333
228,229.0,1.2159941879256397,5.5653280713526463e-05,4.5131775698314e-07,1.0,16.10502152531206,0.00010000321966940895,0.2051459811052183,34.35890381783247,1.4122386143470373e-07,1000000.0,0.0,25.0,517910.6666666667
229,230.0,1.1356441424503025,5.739190964169343e-05,3.962019530039424e-07,1.0,15.582086375716067,0.00010025623857962129,0.21384526064353082,48.843762174248695,5.106600477896385e-08,1000000.0,0.0,25.0,576390.6666666666
230,231.0,1.142754321060678,4.3559696703529904e-05,4.752899223432652e-07,1.0,11.739175446631286,0.00010029612366146967,0.21292381154503204,10.000048667192459,1.8046130789249463e-07,1000000.0,0.0,25.0,436945.3333333333
231,232.0,1.101257342518881,5.4518180818726666e-05,4.0442589508648917e-07,1.0,14.163300554806028,0.00884609940479053,0.2601030324836344,74.551926612854,7.681622875713379e-08,1000000.0,0.0,25.0,436945.3333333333
232,233.0,1.0441012822130713,4.789394647983488e-05,4.6383627939572755e-07,1.0,12.203522028487306,0.0001000059341758619,0.1964638449554812,22.86165288090706,1.5989341892125802e-07,1000000.0,0.0,25.0,517910.6666666667
233,234.0,1.120049598403856,6.042617362441251e-05,4.199802467063195e-07,1.0,16.51266990112582,0.020479319094271697,0.23262961573270502,10.000001102685928,1.6805472144415496e-07,1000000.0,0.0,25.0,436945.3333333333
234,235.0,1.1618742491273988,5.170760451121126e-05,3.950416635494877e-07,1.0,13.613660763803175,0.00010000194966569564,0.22138649602949556,10.000003166496754,1.2909399708727266e-07,1000000.0,0.0,25.0,477428.0
235,236.0,1.16878859709261,5.544122852304019e-05,3.8242846978422013e-07,1.0,15.694205866133885,0.00657286906262744,0.2429473483514073,38.10938607156277,1.311859649843404e-07,1000000.0,0.0,25.0,477428.0
236,237.0,1.03335574666567,4.4875201387614165e-05,4.742535702286597e-07,1.0,11.140854239285176,0.00010058339384050319,0.19467747388220857,10.000352077186108,2.3510177463292458e-07,1000000.0,0.0,25.0,477428.0
237,238.0,1.0536994972516471,2.3603162610930686e-05,4.1228436600399936e-07,1.0,2.600885742950574,0.00010001989684998991,0.20056235263406563,30.137136168777943,1.2056236092688308e-06,1000000.0,0.0,25.0,576390.6666666666
238,239.0,1.1691037421076445,4.76231247086407e-05,3.670203072340082e-07,1.0,12.455769619476023,0.00010584506763156032,0.22329425523691526,49.70826391130686,1.1565783265898649e-07,1000000.0,0.0,25.0,576390.6666666666
