,Resample,RMSLE,beta,d_I,p,c,d_T,r,k_T,U_0,I_0,V_0,T_0
163,164.0,1.1697729967058434,4.780971213261419e-05,5.138971612346125e-07,1.0,13.402760072228297,0.012,0.2134320131989469,10.0,1000000.0,0.0,25.0,436945.3333333333
164,165.0,1.0930642031925122,4.599327811615965e-05,5.020162089785661e-07,1.0,12.40878476191407,0.012,0.2543046518830465,10.0,1000000.0,0.0,25.0,337982.6666666667
165,166.0,1.013068377880669,4.2501382722669236e-05,4.981924902686867e-07,1.0,11.853756746845235,0.012,0.22742108338994882,10.00000011920929,1000000.0,0.0,25.0,418948.0
166,167.0,1.0974221148782957,4.839249483283854e-05,4.1414410421234765e-07,1.0,13.22235951499399,0.012,0.21556064433186606,39.17152853310108,1000000.0,0.0,25.0,576390.6666666666
167,168.0,1.0858392746982415,5.063695505614862e-05,4.1834250709886993e-07,1.0,13.614299980810458,0.012,0.23879041506452836,35.294830836355686,1000000.0,0.0,25.0,477428.0
168,169.0,1.2091596439523171,4.180089759589907e-05,4.5613757912357344e-07,1.0,11.499886741650066,0.012,0.22444522981898984,13.329333655536175,1000000.0,0.0,25.0,477428.0
169,170.0,1.1627393786622826,5.014512750220036e-05,4.4477804238882807e-07,1.0,13.576246938667722,0.012,0.230411688369756,32.39062771201134,1000000.0,0.0,25.0,477428.0
170,171.0,1.0995240324374453,5.8876225983003886e-05,4.841337477799385e-07,1.0,15.949690585725854,0.012,0.2215416123952636,10.000000163912773,1000000.0,0.0,25.0,418948.0
171,172.0,1.0803956654357274,4.871060134158575e-05,4.813380187181971e-07,1.0,13.300076832481338,0.012,0.2557655853225711,10.000000342726707,1000000.0,0.0,25.0,337982.6666666667
172,173.0,0.9205444742680976,5.877474260169465e-05,4.87110444095083e-07,1.0,14.09726607459772,0.012,0.23265912029030744,10.000000223517418,1000000.0,0.0,25.0,378465.3333333333
173,174.0,1.1064262980908772,4.3081271867951874e-05,4.790971080370656e-07,1.0,12.136455061803204,0.012,0.26232488948421206,10.000000067055225,1000000.0,0.0,25.0,337982.6666666667
174,175.0,1.1255774559879235,5.7202336150542425e-05,4.1739332909273175e-07,1.0,15.459087586500608,0.012,0.23613049471875058,35.03861887007952,1000000.0,0.0,25.0,477428.0
175,176.0,1.1065181759813907,4.473176618568007e-05,4.911688024914203e-07,1.0,12.64167722878171,0.012,0.22706347380015046,10.000000156462193,1000000.0,0.0,25.0,418948.0
176,177.0,1.0904584462068747,4.3430962732277046e-05,4.3492250580838587e-07,1.0,11.2540852179622,0.012,0.22481595938133836,10.00000037997961,1000000.0,0.0,25.0,477428.0
177,178.0,1.2057325445206308,1.807788489824486e-05,7.077960728955077e-06,1.0,1.4798394813389208,0.012,0.24321827029248055,10.000000029802322,1000000.0,0.0,25.0,337982.6666666667
178,179.0,1.0608150711359596,4.870566154310448e-05,4.827500811592595e-07,1.0,13.77208735030441,0.012,0.22128548625336464,10.0,1000000.0,0.0,25.0,436945.3333333333
179,180.0,1.1705726478126697,3.507047798720944e-05,5.181908843316201e-07,1.0,9.431094560963217,0.012,0.1896982859098273,62.38387168943882,1000000.0,0.0,25.0,616873.3333333334
180,181.0,1.0735912523597488,5.141572339232996e-05,4.251486888137064e-07,1.0,14.271800791723507,0.012,0.24206571591317072,57.01022822409868,1000000.0,0.0,25.0,477428.0
181,182.0,1.1458060863093953,4.779395769714364e-05,5.019797921018159e-07,1.0,12.538730933309452,0.012,0.20169833023954453,10.000000022351742,1000000.0,0.0,25.0,477428.0
182,183.0,1.0936401878951914,4.083208028007852e-05,3.84778793453624e-07,1.0,10.636965330776796,0.012,0.23376633107111644,68.20889497548342,1000000.0,0.0,25.0,576390.6666666666
183,184.0,1.1218521915590476,3.239643696098301e-05,5.136148972296982e-07,1.0,8.110765543572938,0.012,0.22597407737713127,10.000000096857548,1000000.0,0.0,25.0,436945.3333333333
184,185.0,1.1677877444235438,4.6145007666659096e-05,5.158951832456569e-07,1.0,12.17547476462336,0.012,0.21260054967049058,10.000000059604645,1000000.0,0.0,25.0,436945.3333333333
185,186.0,1.0543747666807994,1.7819538738759265e-05,3.960371363814689e-06,1.0,1.3284586034521482,0.012,0.2131807322239112,10.000000029802322,1000000.0,0.0,25.0,477428.0
186,187.0,1.151944169895365,3.978257543904067e-05,5.000109310111743e-07,1.0,10.522559839766117,0.012,0.2397765728745469,10.0,1000000.0,0.0,25.0,378465.3333333333
