,Resample,RMSLE,p,k_V,c_V,r,k_T,d_T,K,T_0,V_0
134,135.0,1.0210916190888395,5.210117858023466,1200000.0,1.609407781615208e-06,0.26251234810080604,3525.606138214469,0.07390406305733155,2.477277266208999e-07,1004509.6,25.0
135,136.0,0.9639964167586126,5.137085127711842,1200000.0,1.5427035833935659e-06,0.2778024104741519,3297.133980937302,0.08005653362164328,2.3566762001797826e-07,970536.8,25.0
136,137.0,0.9909013379194297,4.8788756949864975,1200000.0,1.4436536998857255e-06,0.29306038111209887,2553.753139190376,0.09143121802394544,2.0461429062966193e-07,967578.8,25.0
137,138.0,1.1627827011222245,5.011911605070502,1200000.0,1.40996012448444e-06,0.27843612023526276,3853.9763252437115,0.08396373980692667,2.4533298577515174e-07,1060154.0,25.0
138,139.0,1.057270150977701,5.1514784596059116,1200000.0,1.652180562762337e-06,0.2695083328061969,3817.6951759904623,0.07050820106431849,2.5804266810748095e-07,938311.6,25.0
139,140.0,1.031113004668853,5.474937722570125,1200000.0,1.6748168794143765e-06,0.2511333108378295,3972.7954966425896,0.06743777408423274,2.466103004746781e-07,1036163.6,25.0
140,141.0,0.9336293462753815,5.621215679414476,1200000.0,1.679946653069873e-06,0.252212674920969,2586.8738556578755,0.08047984683529241,2.4882510341285504e-07,1002190.8,25.0
141,142.0,1.052158346598352,5.095213001235933,1200000.0,1.497494723797989e-06,0.26800336638225275,3031.1092898249626,0.07861259776086904,2.635572191974267e-07,986435.2,25.0
142,143.0,1.002849551701676,4.7882612354631675,1200000.0,1.3957742968513293e-06,0.2952640435921552,3792.5409616678953,0.07972038586530145,2.3230814557503594e-07,957739.2,25.0
143,144.0,1.014014918018013,5.33103328721991,1200000.0,1.6767899146490943e-06,0.2557991382298468,3253.9601752981544,0.07516488279773409,2.4440514828959144e-07,1006896.4,25.0
144,145.0,1.0517282366951957,5.288033986540938,1200000.0,1.547645114726718e-06,0.25354516893673207,3304.586004078388,0.06633075241429992,2.604924628043487e-07,1031458.0,25.0
145,146.0,0.9542939646438275,5.204069142654518,1200000.0,1.5891655376157275e-06,0.27867160996036944,2920.944151394069,0.0736857326539429,2.604023814062583e-07,875003.6,25.0
146,147.0,0.9679953007562089,4.763013958185674,1200000.0,1.4612030672303878e-06,0.2879666725187846,2793.2893877103925,0.08509022757598284,2.128204703225525e-07,980519.2,25.0
147,148.0,1.040957412074302,5.6073697747852265,1200000.0,1.7821749906992017e-06,0.2450754817108276,2609.414346449077,0.06364710239422561,2.3568341894511334e-07,978200.4,25.0
148,149.0,0.9993877346098107,5.130131148182208,1200000.0,1.4306052677800607e-06,0.2648396407132054,4041.869824372232,0.06808491834097752,2.5468683302012663e-07,1063112.0,25.0
149,150.0,1.0116957745830784,4.798084874763617,1200000.0,1.3365822710473998e-06,0.297329219182096,2419.3455146104097,0.09712817418677272,2.1595923178507773e-07,980519.2,25.0
150,151.0,0.9738189620598198,4.835526863094451,1200000.0,1.3040133990228374e-06,0.3149870475365475,4368.832440763712,0.09254352777486002,2.286861482124174e-07,967578.8,25.0
151,152.0,1.0051536633896672,5.0785680552179855,1200000.0,1.8360183927487844e-06,0.27507790619994665,809.8334659636021,0.10829562560785311,1.1517027895111058e-07,954781.2,25.0
152,153.0,0.9914271607591411,5.432479404564482,1200000.0,1.796464016634755e-06,0.25534568340187036,4419.693437308073,0.0616548509367561,2.4274901663361045e-07,983477.2,25.0
153,154.0,0.9248048758050634,5.400429090443929,1200000.0,1.602070917008996e-06,0.25702790787577356,2257.185911409557,0.09151375249703075,2.3243775857335539e-07,1060154.0,25.0
154,155.0,1.075161613594174,5.096285832789661,1200000.0,1.3830632503025481e-06,0.2904845090698913,4204.497091501951,0.08925059928600587,2.5339722652512303e-07,1007467.6,25.0
155,156.0,1.063789894435545,5.004487004639678,1200000.0,1.4009540175641733e-06,0.28823039241239456,3599.2842795848846,0.08407720944027558,2.281656584114322e-07,1007467.6,25.0
156,157.0,1.0115101263865596,5.053931224324565,1200000.0,1.61100428713271e-06,0.2712682515616649,3005.0923715233803,0.0818800059098937,2.0523241749676314e-07,1012173.2,25.0
