,Resample,RMSLE,p,k_V,c_V,r,k_T,d_T,T_0,V_0
64,65.0,1.4183345488330652,2.2645353611669137,1200000.0,1.539038033254138e-06,99.99999995184993,25880315.149508104,0.012,337982.6666666667,25.0
65,66.0,1.2104556224789036,3.010570659493098,1200000.0,2.01690559077424e-06,0.18864041750122595,10.0,0.012,477428.0,25.0
66,67.0,1.2272083528944018,2.814432071015517,1200000.0,1.7745484233757367e-06,0.21048653362677072,10.000002294778824,0.012,436945.3333333333,25.0
67,68.0,1.2738392903508151,2.7679626950653713,1200000.0,1.8190684583969618e-06,99.99999999308726,33203820.524263036,0.012,477428.0,25.0
68,69.0,1.5362833258046023,2.4088600358541825,1200000.0,1.8621445645655222e-06,99.99999999759532,18751054.4002829,0.012,418948.0,25.0
69,70.0,1.2181755360197497,2.6677275568728476,1200000.0,1.6890302269039913e-06,0.23054040399373577,10.00000000745058,0.012,378465.3333333333,25.0
70,71.0,1.3681912062329478,2.9505724679093532,1200000.0,2.007893681669828e-06,99.99999999281678,28123750.549292795,0.012,576390.6666666666,25.0
71,72.0,1.2828540790614393,3.652614151203501,1200000.0,2.4179627282460418e-06,0.16229368022974455,10.0,0.012,576390.6666666666,25.0
72,73.0,1.4687976567662542,3.2118389984016105,1200000.0,2.0859192623268137e-06,99.99999999883036,33368918.21257749,0.012,616873.3333333334,25.0
73,74.0,1.5462169645721588,2.519417544030823,1200000.0,1.6851650780735065e-06,99.99999703131209,35018890.69940112,0.012,337982.6666666667,25.0
74,75.0,1.2974364733637973,3.7340842695013947,1200000.0,2.3641709916931284e-06,0.13617533932226422,10.0,0.012,715836.0,25.0
75,76.0,1.3381470646619238,2.8889066220088893,1200000.0,1.8206449638819431e-06,0.19823288546404427,10.0,0.012,477428.0,25.0
76,77.0,1.576861404671132,2.411526893983293,1200000.0,1.811016172225309e-06,99.99999999932936,28250270.68725418,0.012,337982.6666666667,25.0
77,78.0,1.4366961685552502,2.51451639817099,1200000.0,1.5819996993049566e-06,99.99999999964876,26276044.650556874,0.012,477428.0,25.0
78,79.0,1.2665487186696118,3.077385841367807,1200000.0,2.200158196253595e-06,0.18026981180586432,10.0,0.012,477428.0,25.0
79,80.0,1.705506136167396,2.258818840389928,1200000.0,1.5011234562037134e-06,99.99999999874518,25587767.491779402,0.012,337982.6666666667,25.0
80,81.0,1.520851477152205,2.393003453417734,1200000.0,1.607700202526616e-06,99.99999971865616,24138208.284813486,0.012,418948.0,25.0
81,82.0,1.5579451417064685,2.6633615331782536,1200000.0,2.0854452488142903e-06,99.99999965241122,24179940.988757957,0.012,436945.3333333333,25.0
82,83.0,1.4941842706757977,2.6634672513244055,1200000.0,1.917195313257296e-06,99.99999999282021,24696353.893155415,0.012,477428.0,25.0
83,84.0,1.1000250879038456,2.5441404935379097,1200000.0,1.936336813632326e-06,0.22112282466682842,10.0,0.012,337982.6666666667,25.0
84,85.0,1.200457379394773,2.777269624607605,1200000.0,1.6820011186428931e-06,0.2035234874393126,10.0,0.012,477428.0,25.0
85,86.0,1.107149680470643,2.647644100366726,1200000.0,1.556247291580039e-06,0.20790471394769128,10.0,0.012,477428.0,25.0
86,87.0,1.2859753815941304,3.07274328983911,1200000.0,1.8708123542350623e-06,0.17544709654442414,10.0,0.012,576390.6666666666,25.0
87,88.0,1.0951295261492713,2.7792210395634953,1200000.0,1.730245437796706e-06,0.21261725352061944,10.0,0.012,436945.3333333333,25.0
88,89.0,1.2286301365968297,2.6982786396247747,1200000.0,1.5706276018147698e-06,0.20929168282818722,10.00000000745058,0.012,477428.0,25.0
89,90.0,1.526411189594353,2.880600648549489,1200000.0,2.0797144550010658e-06,99.99999849295426,31283196.03680848,0.012,477428.0,25.0
90,91.0,1.214603701802099,2.9041331620998463,1200000.0,2.189238870421458e-06,0.20583454188540884,10.0,0.012,378465.3333333333,25.0
91,92.0,1.424047361348882,2.697533488235635,1200000.0,1.9458450473467233e-06,99.99999999917858,25454789.629594076,0.012,477428.0,25.0
92,93.0,1.1745099976372773,3.001517404738941,1200000.0,1.7535713815301044e-06,0.18903700591092587,31.577185854315758,0.012,576390.6666666666,25.0
93,94.0,1.2321487576949617,2.8584182787728096,1200000.0,1.5420017656563533e-06,0.19218272975817996,35.59893776476383,0.012,616873.3333333334,25.0
94,95.0,1.7435261140419458,2.366235871761589,1200000.0,2.0607510908792812e-06,99.999999998367,20059770.21064597,0.012,337982.6666666667,25.0
95,96.0,1.2503465648069427,2.7746200396710705,1200000.0,1.8196239978345884e-06,0.21151069981686277,10.0,0.012,418948.0,25.0
96,97.0,1.5809607691624685,2.390665264234663,1200000.0,1.8867664192008312e-06,99.9999999995655,24986970.95601277,0.012,337982.6666666667,25.0
97,98.0,1.193812577516169,2.9798284023267243,1200000.0,2.024204582325811e-06,0.18719943530827265,10.0,0.012,477428.0,25.0
98,99.0,1.2889695591848025,2.536939889997356,1200000.0,1.90819444847001e-06,0.22328141141193214,10.000000052154064,0.012,337982.6666666667,25.0
99,100.0,1.1328093379289856,3.737755953521095,1200000.0,2.4755904765985917e-06,0.1521808098476498,10.0,0.012,616873.3333333334,25.0
100,101.0,1.4913833649735682,2.479887738132291,1200000.0,1.8813047771769773e-06,99.99999999993028,25624550.538482103,0.012,378465.3333333333,25.0
101,102.0,1.4275320129520586,3.342360443413696,1200000.0,2.4950384234474096e-06,99.99993963142116,26091491.926156905,0.012,616873.3333333334,25.0
102,103.0,1.2131773648335928,2.8152207726309584,1200000.0,1.8644598547910135e-06,0.20389237318705256,10.00000000745058,0.012,436945.3333333333,25.0
103,104.0,1.2176028515289112,2.8814599443750026,1200000.0,1.773842264391944e-06,0.2012855412710124,10.0,0.012,477428.0,25.0
104,105.0,1.5093038451101837,2.5114526875111025,1200000.0,1.9615229844308375e-06,99.99994115728163,20305660.602272026,0.012,418948.0,25.0
105,106.0,1.2514822270160975,2.6820808868226607,1200000.0,1.6657696436743317e-06,0.21292028146233832,10.0,0.012,436945.3333333333,25.0
106,107.0,1.0973896200881694,3.1889055777664552,1200000.0,2.0804295141831384e-06,0.1806772858257517,10.0,0.012,517910.6666666667,25.0
107,108.0,1.381492211689636,2.4085929604773497,1200000.0,1.4067452194942338e-06,99.99999999979843,25157428.315287948,0.012,477428.0,25.0
108,109.0,1.3605642713708022,2.7109583792530643,1200000.0,1.8830807162699601e-06,99.99999999905936,28109885.40034491,0.012,477428.0,25.0
109,110.0,1.2695063786602796,2.7392669260094067,1200000.0,1.951545701522126e-06,99.99999999794971,23224084.07995302,0.012,517910.6666666667,25.0
110,111.0,1.1203612602061077,2.5677209718701732,1200000.0,1.6580916598311161e-06,0.2275431609566283,10.0,0.012,378465.3333333333,25.0
111,112.0,1.2071307564630642,3.0868688858080233,1200000.0,1.704893782889045e-06,0.1793598639015599,10.00000000745058,0.012,616873.3333333334,25.0
112,113.0,1.5816777673064537,2.8052894419387897,1200000.0,1.8226243170675502e-06,99.99999998697463,33406345.842709422,0.012,477428.0,25.0
113,114.0,1.2507559774777923,2.4767197385963513,1200000.0,1.5866626981077218e-06,0.22953758046171657,10.0,0.012,378465.3333333333,25.0
114,115.0,1.4080278624539635,3.51113076164183,1200000.0,2.7716299310919667e-06,99.999999998311,31896886.954218257,0.012,576390.6666666666,25.0
115,116.0,1.5992763779868358,2.886556718362762,1200000.0,2.5020804348990612e-06,99.99999999947912,20603324.557790015,0.012,477428.0,25.0
116,117.0,1.164323073252161,2.6934021837021263,1200000.0,1.6610423453535452e-06,0.2019575975294643,10.0,0.012,477428.0,25.0
117,118.0,1.3969465308094615,2.71956232050362,1200000.0,1.80450834904174e-06,99.99999998913336,25661203.94307829,0.012,517910.6666666667,25.0
118,119.0,1.2224361215417168,3.0477062924239604,1200000.0,2.184420137057358e-06,0.1790258656004653,10.0,0.012,477428.0,25.0
119,120.0,1.26286635567585,2.9559203572156534,1200000.0,1.9837360825710124e-06,0.1877467438685585,10.000000350177288,0.012,477428.0,25.0
120,121.0,1.2385435682847807,3.1248242377650044,1200000.0,1.855268690854859e-06,0.17959513251929593,10.0,0.012,576390.6666666666,25.0
