,Resample,RMSLE,p,k_V,c_V,r,k_T,d_T,c_T,T_0,V_0
51,52.0,0.8938317029084895,6.719909663666101,1200000.0,3.004096882331781e-06,0.17445931066838938,2227.253770120442,0.011,0.023231661759216038,1006896.4,25.0
52,53.0,0.8741069587224707,6.065896532129479,1200000.0,2.7929064819445096e-06,0.22362069240745086,6059.572757616639,0.011,1.2812217953239724e-10,983477.2,25.0
53,54.0,0.9070780409787212,5.818006592289876,1200000.0,2.5652171000232614e-06,0.21165970762363173,4460.574978403747,0.011,0.037459117870600356,888583.2,25.0
54,55.0,0.9526631208059791,5.931303320229382,1200000.0,2.6720812852288844e-06,0.20231356911826737,3091.221985846758,0.011,0.02236067531482855,938882.8,25.0
55,56.0,0.9140816304031743,5.356811994269634,1200000.0,2.449190907726642e-06,0.21395090284156026,3763.0081365555525,0.011,0.04137467756054125,856929.2,25.0
56,57.0,0.8856199461762339,5.145705952772801,1200000.0,2.01670127453256e-06,0.21733888050656702,3079.3419990241528,0.011,0.06576568641319541,883877.6,25.0
57,58.0,0.8537957024959748,5.900845208523258,1200000.0,2.8054878149680847e-06,0.22472275774037342,5140.760682977736,0.011,0.009615051039429556,880348.4,25.0
58,59.0,0.9742280442328777,6.093378515409611,1200000.0,2.8521290011913336e-06,0.21479653470753135,4189.379197612405,0.011,1.0039474807044257e-10,954781.2,25.0
59,60.0,0.9550588657918552,6.9415333361163505,1200000.0,3.1902382567362955e-06,0.18534569808673496,3429.980385571718,0.011,4.209768256213664e-09,1057196.0,25.0
60,61.0,0.9207835462046315,6.277027345286356,1200000.0,2.9838407843197522e-06,0.19890004235756464,3953.0390644818544,0.011,0.012248032287831057,954781.2,25.0
61,62.0,0.8605100920417064,5.4168688790556345,1200000.0,2.28478450650752e-06,0.21811424034361693,3848.6151097640395,0.011,0.05503293108443713,853971.2,25.0
62,63.0,0.95455811535023,5.98462900050189,1200000.0,2.6534736561437494e-06,0.19074335327738368,2473.410045042634,0.011,0.01868165318881243,1007467.6,25.0
63,64.0,0.9120337801793214,5.91170198054072,1200000.0,2.735496635248402e-06,0.23262626506813433,4982.99527412653,0.011,3.8172447425210976e-09,896818.0,25.0
64,65.0,0.9891031777609276,6.317164855305755,1200000.0,2.8039499495968967e-06,0.21750711428218494,6032.030876651406,0.011,2.7607416352992686e-10,1025542.0,25.0
65,66.0,0.9927364320668804,6.026718270857145,1200000.0,2.7082392024536974e-06,0.19835265089241005,3453.888184390962,0.011,0.019530528966438865,983477.2,25.0
66,67.0,0.9413501582240881,6.055124032535062,1200000.0,2.6489891735863357e-06,0.21269381905046458,4512.439604669809,0.011,1.2802814364221149e-11,1060154.0,25.0
67,68.0,0.9259542312292853,6.343585658683345,1200000.0,2.6359790810509656e-06,0.18799194800368468,3238.008468002081,0.011,0.039884999487649675,975242.4,25.0
68,69.0,0.8568176452218063,6.442885130396633,1200000.0,2.9995538328238093e-06,0.19800098397616495,3633.884382583201,0.011,0.009780874815529694,973494.8,25.0
69,70.0,0.9290712297347244,5.328295275953458,1200000.0,2.2635291817249174e-06,0.21595028812554773,3473.335189715028,0.011,0.04965457222787745,869869.6,25.0
70,71.0,0.9614929619396076,6.426708145797036,1200000.0,2.611568538143965e-06,0.18776571983367774,3274.9571293517947,0.011,0.021765605009273215,1088850.0,25.0
71,72.0,0.9227511822796064,6.028601402633775,1200000.0,2.65228066094069e-06,0.21070943054189684,4376.103785723448,0.011,0.004441244039704528,1036163.6,25.0
72,73.0,0.9808728254599245,5.756456626495357,1200000.0,2.5187165041621863e-06,0.23928098663308361,7598.068797193468,0.011,6.251055229000713e-12,1004509.6,25.0
73,74.0,0.9696089822584065,5.658099487921511,1200000.0,2.6319875621139835e-06,0.22882083610969772,3853.975450798869,0.011,0.014062374601920336,856929.2,25.0
74,75.0,0.94191289184752,6.065499224921169,1200000.0,2.7693291328607025e-06,0.2127957727884322,3706.0533917099237,0.011,7.746459640411985e-09,975242.4,25.0
75,76.0,0.8743349328732357,5.867848163160538,1200000.0,2.4916885416642026e-06,0.22056542611690588,4479.458193212748,0.011,0.009060859611745575,996274.8,25.0
76,77.0,0.9379117896471267,6.114099577304842,1200000.0,3.0555010325493696e-06,0.21005633069481888,3736.6581234931946,0.011,3.2898406221448795e-11,920808.4,25.0
77,78.0,0.8674964284353551,6.171792757863798,1200000.0,2.5987253191218663e-06,0.18211547445408627,2690.937577329576,0.011,0.03918746922280275,1006896.4,25.0
78,79.0,0.9209050066386105,6.099181828406721,1200000.0,2.7783306194649105e-06,0.18476182876203495,2785.8958104923368,0.011,0.03463685473287398,946546.4,25.0
79,80.0,0.925212871887127,6.621734804387351,1200000.0,3.1661483360100908e-06,0.18953689733217516,3469.278669819236,0.011,1.1917013709172863e-08,1027928.8,25.0
80,81.0,0.9702498671018903,6.301619762754896,1200000.0,2.9821103353425805e-06,0.21471351910859227,5192.244044184685,0.011,5.3868861038530724e-09,962444.8,25.0
81,82.0,0.9807751367364627,5.606548934931517,1200000.0,2.6500098508375495e-06,0.23709294914132073,5224.0149923712015,0.011,0.002200296837001181,885625.2,25.0
82,83.0,0.938355947930531,5.664939613724883,1200000.0,2.4649406300780483e-06,0.21802021059464494,3917.6144918724895,0.011,0.02743662343591069,909615.6,25.0
83,84.0,0.9560264321287427,5.285310253652511,1200000.0,2.558029740248111e-06,0.22948561264706768,3797.0676971301436,0.011,0.014028836003407652,859887.2,25.0
84,85.0,0.7079138796140396,6.579010977815507,1200000.0,2.833715098232363e-06,0.18491736279980842,2733.611896522343,0.011,0.030164886462378304,975242.4,25.0
85,86.0,0.949990348235617,5.907406839557062,1200000.0,2.742871468555219e-06,0.21133559861151952,3695.2292898744345,0.011,0.024501983475010647,872827.6,25.0
86,87.0,0.8957431616946506,5.629317546281044,1200000.0,2.4475568434044814e-06,0.22562634037655016,4546.2783511430025,0.011,0.029000861753837315,880919.6,25.0
87,88.0,0.866647385898487,6.444615934635635,1200000.0,2.745238711046713e-06,0.19731254354397976,4568.09246379137,0.011,0.02466334603265591,1004509.6,25.0
88,89.0,0.8391735279804793,5.884167880701433,1200000.0,2.615210517972393e-06,0.22216257832306496,4035.799363479018,0.011,0.01037119897712968,917850.4,25.0
89,90.0,0.9567054923193417,6.3500709702424984,1200000.0,2.8870145219777175e-06,0.20117793842103993,4226.469081014395,0.011,0.007036328660741165,1012173.2,25.0
90,91.0,0.9204058788507324,6.065603056717926,1200000.0,2.6976971329056135e-06,0.18712055775264247,2928.1072165444493,0.011,0.03367276713075973,975813.6,25.0
91,92.0,0.8654394238204345,5.995608152809993,1200000.0,2.6544335777832265e-06,0.18587430519305315,1834.805283240974,0.011,0.0402856049584982,914892.4,25.0
92,93.0,0.9092883990569779,5.883684546751539,1200000.0,2.6668466596304436e-06,0.20579948883259647,3869.2905793711543,0.011,0.02655989769233308,912573.6,25.0
93,94.0,0.9185681497901264,6.497060690719167,1200000.0,2.881136615875427e-06,0.2022707870067748,3973.02083081007,0.011,7.796801537729436e-10,1039121.6,25.0
94,95.0,0.9895759939652448,5.9044601782329025,1200000.0,2.584560218740173e-06,0.20924141022938159,3887.206085398793,0.011,0.008332552481683131,1028500.0,25.0
95,96.0,1.0031114007378885,5.976143225211722,1200000.0,2.652709463626337e-06,0.2175988568980074,4403.240997724235,0.011,4.271084597107233e-10,1002190.8,25.0
