,Resample,RMSLE,p,k_V,c_V,r,k_T,d_T,c_T,T_0,V_0
137,138.0,1.1278895385092924,3.058910352774596,1200000.0,1.640508921690344e-06,0.13340189976148054,1174.5750327333808,0.012,0.1886942252296666,576390.6666666666,25.0
138,139.0,2.0273141925389324,99.99999128572375,1200000.0,4.6258498362874965e-05,5.861132613352247,468656.2860751897,0.012,0.9982766205505071,378465.3333333333,25.0
139,140.0,1.2887009983359434,3.0475563053093992,1200000.0,2.2166024831143764e-06,99.99604251346403,29889385.774277527,0.012,0.24271430959875434,378465.3333333333,25.0
140,141.0,1.0165940382871745,2.95380399403561,1200000.0,1.9494658176875347e-06,0.15703595834554562,10.000000141561031,0.012,0.09452518239406349,436945.3333333333,25.0
141,142.0,1.1100515282850707,3.5890821743964736,1200000.0,2.256866194789208e-06,0.15940293496409197,10.001556895673275,0.012,4.043519031882159e-06,616873.3333333334,25.0
142,143.0,1.1174544317939017,3.1951108617325303,1200000.0,1.9134009822434895e-06,0.14756509325788159,10.000015906989574,0.012,0.08832171560699631,517910.6666666667,25.0
143,144.0,1.173837290783536,2.691492966780956,1200000.0,1.8822365405078839e-06,0.19417141016303674,10.000001065433025,0.012,0.08167979098563222,337982.6666666667,25.0
144,145.0,1.1594034478169035,3.6284439785281606,1200000.0,2.5100481527050167e-06,0.145504783026837,10.011069357395172,0.012,8.563208689860158e-05,616873.3333333334,25.0
145,146.0,1.1421511914111857,3.1308588421342307,1200000.0,2.1247402149630025e-06,0.17167609565183284,10.000064678490162,0.012,0.006043986722387651,517910.6666666667,25.0
146,147.0,1.1908031266809673,2.9295357092488743,1200000.0,1.801119421234449e-06,0.16741851419516962,10.000005096197128,0.012,0.0680113745972637,477428.0,25.0
147,148.0,1.137235690702033,3.5761883792768785,1200000.0,2.342357807043711e-06,0.13498347251924514,30.089192017912865,0.012,0.03929206869827001,616873.3333333334,25.0
148,149.0,1.1311112836352493,2.4085301376088566,1200000.0,1.6101121117956566e-06,0.21185430469081723,10.00000087171793,0.012,0.05997550729548662,337982.6666666667,25.0
149,150.0,1.2179643466790746,2.717951705144195,1200000.0,1.5326804543367415e-06,0.19770505841155028,10.00000086426735,0.012,0.05925256358466324,436945.3333333333,25.0
150,151.0,1.1969397940026545,2.9852901205992737,1200000.0,1.8532880426586242e-06,99.9991387542648,23400095.30511318,0.012,0.2233720730489861,477428.0,25.0
151,152.0,1.1892479230022517,4.248475774320909,1200000.0,2.8970354031857977e-06,99.9983070028429,32864771.055654325,0.012,0.09771327051291029,715836.0,25.0
152,153.0,1.101540161861091,3.0555899568424536,1200000.0,2.1880563784260773e-06,0.14894596764224133,10.000001564621925,0.012,0.13546335280671684,378465.3333333333,25.0
153,154.0,1.2267795070416567,3.034258756130612,1200000.0,1.9205027459881188e-06,0.17900968513683324,10.000000327825546,0.012,0.06102805157811991,436945.3333333333,25.0
154,155.0,1.2263586479523834,2.6805374838222917,1200000.0,1.6354492506085908e-06,99.99998818336994,18959021.833491374,0.012,0.20356223608879548,436945.3333333333,25.0
155,156.0,1.204993881603378,2.701164923728662,1200000.0,1.5937632220453202e-06,0.19418088952090073,10.000009179115295,0.012,0.054548795822236984,436945.3333333333,25.0
156,157.0,1.0581729949224523,2.4981485313880682,1200000.0,1.4880760927439527e-06,0.21627607241708802,10.000001832842827,0.012,0.017838167575583874,418948.0,25.0
157,158.0,1.1932002438307383,2.7730860271496383,1200000.0,1.7622869839644596e-06,0.19729873401404063,10.000001728534698,0.012,0.02435575258225292,436945.3333333333,25.0
158,159.0,1.1007462043576213,2.7348201279873052,1200000.0,1.7511831231976197e-06,0.1978026406672626,10.000043213367462,0.012,0.06592805889568171,378465.3333333333,25.0
159,160.0,1.153225974724473,2.7804623113416866,1200000.0,1.8976416643337875e-06,0.1893008007662047,10.00000025331974,0.012,0.10244166538075217,337982.6666666667,25.0
160,161.0,1.2502534919905264,2.7977401591187885,1200000.0,1.9553213109571067e-06,99.99940317418117,28857178.539037254,0.012,0.24809618896078744,337982.6666666667,25.0
161,162.0,1.2613866508804898,3.5341337342522223,1200000.0,2.4089683287074483e-06,0.14918942236101884,10.000026017427444,0.012,0.04362773404922787,517910.6666666667,25.0
162,163.0,1.139046810087313,3.396821756859211,1200000.0,1.9736121656316723e-06,0.15227065667721007,104.36134734749794,0.012,0.060783861316355825,616873.3333333334,25.0
163,164.0,1.2027212276894728,2.9263949236003057,1200000.0,2.054550493112389e-06,0.18362294791321432,10.000004917383194,0.012,0.02153558526615912,436945.3333333333,25.0
164,165.0,1.1503419080723785,2.670880725520554,1200000.0,1.8427776769042918e-06,0.19668907483673337,10.000000141561031,0.012,0.0835680383442527,337982.6666666667,25.0
165,166.0,1.1867177393141939,2.8483858329923493,1200000.0,1.920518386123173e-06,99.98313119425617,21287372.307854053,0.012,0.22089396660340377,418948.0,25.0
166,167.0,1.110520065968511,3.1859747782220325,1200000.0,1.9317003688206904e-06,0.17411941397575958,10.000115238130093,0.012,0.003007893696632291,576390.6666666666,25.0
167,168.0,1.1214482989182113,2.9482021465294963,1200000.0,1.8147071868974545e-06,0.18023814704432795,10.00009474158287,0.012,0.040719699684542754,477428.0,25.0
