,Resample,RMSLE,beta,d_I,p,c,d_T,r,k_T,U_0,I_0,V_0,T_0
84,85.0,1.0923730259380124,2.529936060740444e-05,6.596242231561377e-07,1.0,2.0804877248680427,0.011,0.3281167838513994,19103.427695654333,1000000.0,0.0,25.0,975242.4
85,86.0,1.2324673652218185,2.286891804210522e-05,6.962106928899009e-07,1.0,2.1209031549952755,0.011,0.536529714006555,67113.71448794752,1000000.0,0.0,25.0,872827.6
86,87.0,1.207265843694017,2.253300137863243e-05,6.826555629751524e-07,1.0,2.168986588132377,0.011,0.38787838179440826,24000.470219872892,1000000.0,0.0,25.0,880919.6
87,88.0,1.1810940972800994,2.423800887790962e-05,6.694721794929843e-07,1.0,2.073952601752403,0.011,0.3700352807808329,31685.32353696972,1000000.0,0.0,25.0,1004509.6
88,89.0,1.1453905928855497,2.3029463755858716e-05,6.688400153483985e-07,1.0,2.1562666010324634,0.011,0.3638261150677877,21148.88421034068,1000000.0,0.0,25.0,917850.4
89,90.0,1.2051547585980449,2.2561419910857435e-05,6.967771814922997e-07,1.0,2.1101086815019343,0.011,0.42194967186159715,46852.04532802105,1000000.0,0.0,25.0,1012173.2
90,91.0,1.1744668452233213,2.268495018867819e-05,6.965478841169351e-07,1.0,2.1880172179544886,0.011,0.3442701660157752,20484.669150307775,1000000.0,0.0,25.0,975813.6
91,92.0,1.123020955751713,2.4048120044423574e-05,6.764343520812034e-07,1.0,2.1986071464369914,0.011,0.3210221407188669,12931.996842510998,1000000.0,0.0,25.0,914892.4
92,93.0,1.1695595868417186,2.2215000208349193e-05,7.085751825972576e-07,1.0,2.1361585266271064,0.011,0.44546401950096737,45381.174061231315,1000000.0,0.0,25.0,912573.6
93,94.0,1.2009186974345527,2.3033398890086368e-05,6.630773479290161e-07,1.0,2.0710359370094196,0.011,0.4711646732876602,64087.105806842446,1000000.0,0.0,25.0,1039121.6
94,95.0,1.2484242011815285,2.1031098644497622e-05,6.688730023946189e-07,1.0,2.168223070029775,0.011,0.507255603526545,63367.40334905684,1000000.0,0.0,25.0,1028500.0
95,96.0,1.3426959125778686,2.090199609352441e-05,6.847517693851828e-07,1.0,2.1109618815924165,0.011,0.5705834619124772,88110.62001604587,1000000.0,0.0,25.0,1002190.8
96,97.0,1.0816944053843394,2.276404027806874e-05,6.945306890746047e-07,1.0,2.1428992309836516,0.011,0.3903218357663931,34611.245364531875,1000000.0,0.0,25.0,999232.8
