,Resample,RMSLE,p,k_V,c_V,r,d_T,T_0,V_0
48,49.0,1.4014449237157303,2.910361395145003,1200000.0,2.284564203856934e-06,3.4850087009828914e-06,0.012,477428.0,25.0
49,50.0,1.3597008844489866,2.7705331137099876,1200000.0,1.965609714250387e-06,5.084525688507157e-06,0.012,576390.6666666666,25.0
50,51.0,1.340908308558022,2.571017308019428,1200000.0,2.514405872917574e-06,4.255165808063594e-06,0.012,337982.6666666667,25.0
51,52.0,1.408181543079161,2.5059286485956918,1200000.0,1.8120967818309241e-06,5.4204792089762444e-06,0.012,477428.0,25.0
52,53.0,1.1966424083309304,2.640448911881215,1200000.0,1.8423230588499693e-06,6.124447089090628e-06,0.012,576390.6666666666,25.0
53,54.0,1.391340500682588,2.628291185124951,1200000.0,2.515639855764075e-06,3.877308335571692e-06,0.012,337982.6666666667,25.0
54,55.0,1.3908215720297812,2.6781220024315786,1200000.0,1.958827733117505e-06,3.932721254071193e-06,0.012,477428.0,25.0
55,56.0,1.2203944342522512,3.135242264787358,1200000.0,2.028653002713373e-06,4.6426351187853435e-06,0.012,715836.0,25.0
56,57.0,1.3513898830703355,2.6099895899136314,1200000.0,1.8314181142129333e-06,4.181311733922455e-06,0.012,477428.0,25.0
57,58.0,1.382342237067776,2.6163127919769877,1200000.0,2.3310420139949664e-06,4.171725862802574e-06,0.012,378465.3333333333,25.0
58,59.0,1.2973804737331023,2.7811455921114785,1200000.0,2.342703077419159e-06,6.520181158547214e-06,0.012,517910.6666666667,25.0
59,60.0,1.487433668591447,2.7566717121539313,1200000.0,2.088407610047458e-06,4.984004749297484e-06,0.012,517910.6666666667,25.0
60,61.0,1.3997075546531688,2.9567086517527983,1200000.0,2.3008828019454523e-06,4.016300721341089e-06,0.012,517910.6666666667,25.0
61,62.0,1.2612096180595391,2.7003814061933795,1200000.0,1.9764036166443344e-06,3.901478528119767e-06,0.012,477428.0,25.0
62,63.0,1.2084219217302845,2.6848931422321485,1200000.0,1.9548255280915462e-06,6.438105538364941e-06,0.012,576390.6666666666,25.0
63,64.0,1.4784455883021066,2.412329248078258,1200000.0,2.106838926011006e-06,4.300862532090235e-06,0.012,337982.6666666667,25.0
64,65.0,1.2939951908200276,2.330676608772791,1200000.0,1.762147079703852e-06,3.960598724627266e-06,0.012,337982.6666666667,25.0
65,66.0,1.2972493611685898,2.7541933869438253,1200000.0,2.2126099675610916e-06,4.461788752975318e-06,0.012,477428.0,25.0
66,67.0,1.37745093195016,2.5301174081805726,1200000.0,1.8747204741783872e-06,4.176453203158448e-06,0.012,436945.3333333333,25.0
67,68.0,1.1854025066076106,2.8841241678200262,1200000.0,2.049185549638859e-06,2.985545439136117e-06,0.012,477428.0,25.0
68,69.0,1.4288850445476269,2.5307013759433943,1200000.0,2.1537799754598206e-06,5.364002955117093e-06,0.012,418948.0,25.0
69,70.0,1.399383785941457,2.4747081739230765,1200000.0,1.8490302202471036e-06,3.6818043313479186e-06,0.012,378465.3333333333,25.0
70,71.0,1.261621981119035,3.156633806353554,1200000.0,2.329488951047786e-06,3.4389913919907755e-06,0.012,576390.6666666666,25.0
71,72.0,1.3508303737153273,3.4230578932075204,1200000.0,2.5904985980067612e-06,3.008439463181627e-06,0.012,576390.6666666666,25.0
72,73.0,1.3752318565759414,3.6519094887716363,1200000.0,2.6949438294520173e-06,2.7445225979078595e-06,0.012,616873.3333333334,25.0
73,74.0,1.413271807398283,2.5537218101369206,1200000.0,1.932125131701429e-06,3.036703983560583e-06,0.012,337982.6666666667,25.0
74,75.0,1.3400918509390243,3.213660760126679,1200000.0,2.332476239393452e-06,6.982350896236176e-06,0.012,715836.0,25.0
75,76.0,1.4612165511143862,2.6382029456779605,1200000.0,2.0004576748659092e-06,4.6720615593788225e-06,0.012,477428.0,25.0
76,77.0,1.4301255149318044,2.4865924422628893,1200000.0,2.0786892471655024e-06,3.650877194324706e-06,0.012,337982.6666666667,25.0
77,78.0,1.3446201033015879,2.627536104470593,1200000.0,1.8164066188247087e-06,3.820778441079704e-06,0.012,477428.0,25.0
78,79.0,1.400628199273377,2.8009984743096368,1200000.0,2.4236096745472368e-06,5.409660790118507e-06,0.012,477428.0,25.0
79,80.0,1.581655886501406,2.315111070074991,1200000.0,1.760842286909724e-06,4.186887871654674e-06,0.012,337982.6666666667,25.0
80,81.0,1.4129457170947681,2.5019081160787096,1200000.0,1.8541174286403923e-06,4.140468402412361e-06,0.012,418948.0,25.0
81,82.0,1.432122574000131,2.8062962736049712,1200000.0,2.4235989859863267e-06,4.182516184819235e-06,0.012,436945.3333333333,25.0
82,83.0,1.402147920431452,2.8157975286193633,1200000.0,2.22714465017702e-06,4.0287748527742314e-06,0.012,477428.0,25.0
83,84.0,1.3318349026784666,2.3545475519125034,1200000.0,2.323580735619259e-06,6.233100885736918e-06,0.012,337982.6666666667,25.0
84,85.0,1.3150464210665602,2.505454865392487,1200000.0,1.841640053721488e-06,5.189940845505203e-06,0.012,477428.0,25.0
85,86.0,1.2092723476841918,2.41397800143438,1200000.0,1.7875462696702066e-06,6.283418746678189e-06,0.012,477428.0,25.0
86,87.0,1.3589701958586613,2.6967800670551725,1200000.0,1.9265211549887064e-06,6.173314614260212e-06,0.012,576390.6666666666,25.0
87,88.0,1.281708791237712,2.5237520580992125,1200000.0,1.8541980873183441e-06,4.195698754823266e-06,0.012,436945.3333333333,25.0
