,Resample,RMSLE,p,k_V,c_V,r,d_T,c_T,T_0,V_0
50,51.0,1.017991623859395,4.935400076993702,1200000.0,1.9802753001388576e-06,1.6961945671077716e-06,0.011,0.09419067483379706,917850.4,25.0
51,52.0,1.049407870079908,6.729204309498037,1200000.0,2.9200554858054093e-06,8.623696316978552e-07,0.011,0.13833729311851445,1006896.4,25.0
52,53.0,1.0144669560125446,5.557384852240183,1200000.0,2.1823205625002374e-06,1.3057104935524348e-06,0.011,0.1249826649560642,983477.2,25.0
53,54.0,1.0521265479933215,5.352591723099337,1200000.0,2.137719512683927e-06,1.3315433110407473e-06,0.011,0.12599471772942888,888583.2,25.0
54,55.0,1.095358703374152,5.378295833725893,1200000.0,2.13844120199677e-06,1.3560852594628387e-06,0.011,0.12789666336673267,938882.8,25.0
55,56.0,1.0571085597967693,4.739664289195872,1200000.0,1.9073998475307777e-06,1.6694266032637014e-06,0.011,0.12392165725569593,856929.2,25.0
56,57.0,1.0479971470947937,4.468964242381517,1200000.0,1.5754383013000776e-06,1.7418055116564092e-06,0.011,0.12638374133179453,883877.6,25.0
57,58.0,1.0355216436975907,5.3451860941016065,1200000.0,2.212821462362344e-06,1.3324134041753876e-06,0.011,0.12768451907480988,880348.4,25.0
58,59.0,1.1293976929921294,5.615616339723012,1200000.0,2.2859704566277804e-06,1.2420390729963432e-06,0.011,0.13115056043575396,954781.2,25.0
59,60.0,1.097033084051982,7.03325047979768,1200000.0,3.019541300298617e-06,7.744756935645726e-07,0.011,0.13914531763855548,1057196.0,25.0
60,61.0,1.0534940508807027,5.880111246379791,1200000.0,2.4852906078074995e-06,1.1728130047721215e-06,0.011,0.13062732868308768,954781.2,25.0
61,62.0,1.0211399017214433,4.791407765839878,1200000.0,1.8153760789269406e-06,1.5690559206441983e-06,0.011,0.12509676286185117,853971.2,25.0
62,63.0,1.0975140331418793,5.539808085631229,1200000.0,2.188548891268456e-06,1.2897353097205563e-06,0.011,0.13712797633195406,1007467.6,25.0
63,64.0,1.0996553381085887,5.291435824698674,1200000.0,2.094360026920322e-06,1.3596662185198639e-06,0.011,0.11956279376407586,896818.0,25.0
64,65.0,1.1514655859756862,5.961832437605125,1200000.0,2.354969022243548e-06,1.1382473847532345e-06,0.011,0.12789591175140014,1025542.0,25.0
65,66.0,1.1255613180351376,5.589010849728972,1200000.0,2.239942321835156e-06,1.2821061409900864e-06,0.011,0.13301648581624897,983477.2,25.0
66,67.0,1.073107034019395,5.522681508618497,1200000.0,2.0562374627156578e-06,1.3307059016173743e-06,0.011,0.12851479060883608,1060154.0,25.0
67,68.0,1.103349595908257,6.075869118419668,1200000.0,2.4613463188169084e-06,1.031276291994611e-06,0.011,0.13512722998980975,975242.4,25.0
68,69.0,0.9992467684410419,5.996026314464224,1200000.0,2.4834917415236498e-06,1.1456725882328536e-06,0.011,0.12834498127146515,973494.8,25.0
69,70.0,1.086216038732085,4.716061852781678,1200000.0,1.7908771407665358e-06,1.6160731515494264e-06,0.011,0.12784336105141958,869869.6,25.0
70,71.0,1.1087989807497387,6.179965486178936,1200000.0,2.3436365820330934e-06,1.0225009416815327e-06,0.011,0.13683783690561746,1088850.0,25.0
71,72.0,1.06108804412411,5.557909301348836,1200000.0,2.1124177380722723e-06,1.2973680283724642e-06,0.011,0.13090466942203727,1036163.6,25.0
72,73.0,1.1445507839433562,5.097523783920359,1200000.0,1.8873253634482646e-06,1.5226083168301869e-06,0.011,0.11185422257410815,1004509.6,25.0
73,74.0,1.1136834474214512,4.85666539837684,1200000.0,1.899599108699889e-06,1.622446062295315e-06,0.011,0.10147150060768906,856929.2,25.0
74,75.0,1.1034057904773884,5.5391260478981295,1200000.0,2.180757599181417e-06,1.2754983059238106e-06,0.011,0.12869598303912932,975242.4,25.0
75,76.0,1.059774790608197,5.248950554075805,1200000.0,1.930163537644415e-06,1.3709958528657014e-06,0.011,0.13025569465565634,996274.8,25.0
76,77.0,1.0701246789514753,5.530298258725587,1200000.0,2.362876037680862e-06,1.3730003570882216e-06,0.011,0.11800598742520269,920808.4,25.0
77,78.0,1.0146086280341253,5.847639026100715,1200000.0,2.3118793109744076e-06,1.149664786432668e-06,0.011,0.13587156029662684,1006896.4,25.0
78,79.0,1.0613409549314239,5.672753824487337,1200000.0,2.367540908269394e-06,1.2319872083815388e-06,0.011,0.13507391238089256,946546.4,25.0
79,80.0,1.0535926338050279,6.384490668778483,1200000.0,2.71435085475336e-06,1.009040036193541e-06,0.011,0.1339923561653712,1027928.8,25.0
80,81.0,1.10933495588503,5.839436738131326,1200000.0,2.4044985078804283e-06,1.1928096940351185e-06,0.011,0.12637211720763986,962444.8,25.0
81,82.0,1.1500642418817233,4.906931597897753,1200000.0,1.945825129084385e-06,1.5629931069969843e-06,0.011,0.11891230088924809,885625.2,25.0
82,83.0,1.1059385662513774,5.016838257580581,1200000.0,1.9166445386373804e-06,1.4822661475238233e-06,0.011,0.1256757223992503,909615.6,25.0
83,84.0,1.0867235986766377,4.542560711161165,1200000.0,1.8679049046376798e-06,1.94438697595127e-06,0.011,0.08939756769317414,859887.2,25.0
84,85.0,0.918726876656712,6.412487732654924,1200000.0,2.698905061219722e-06,9.525617382451126e-07,0.011,0.1344779429015086,975242.4,25.0
85,86.0,1.1110115585366123,5.221291760457028,1200000.0,2.1257262418400124e-06,1.3980853401703578e-06,0.011,0.12513562809461048,872827.6,25.0
86,87.0,1.0756538679460432,5.000173970711245,1200000.0,1.919167190492929e-06,1.4598161980828352e-06,0.011,0.12605517106780273,880919.6,25.0
87,88.0,1.0245373057679075,6.162635460466774,1200000.0,2.4562582096232435e-06,1.0433798326990628e-06,0.011,0.13152434864729895,1004509.6,25.0
88,89.0,1.0347007565836157,5.316068818441565,1200000.0,2.0682371662950947e-06,1.3245196664802335e-06,0.011,0.12734692017959787,917850.4,25.0
89,90.0,1.0935281454279484,5.986863450899236,1200000.0,2.422243226685237e-06,1.1180585874501025e-06,0.011,0.13434170389007916,1012173.2,25.0
90,91.0,1.0467841179516513,5.646722566729316,1200000.0,2.28400454772869e-06,1.2773689808044216e-06,0.011,0.13236776669723038,975813.6,25.0
91,92.0,1.0263778906171723,5.48496376086721,1200000.0,2.231682471424425e-06,1.289995378271676e-06,0.011,0.13105396975707528,914892.4,25.0
