,Resample,RMSLE,beta,d_I,p,c,d_T,r,k_T,c_T,U_0,I_0,V_0,T_0
157,158.0,1.1048087591583555,4.94562499045457e-05,4.534263498993181e-07,1.0,14.041381330349537,0.012,0.23258054710750997,13.160936489701271,3.2616814804597993e-10,1000000.0,0.0,25.0,436945.3333333333
158,159.0,0.9949115001654967,5.3670344315036206e-05,4.310433400178638e-07,1.0,14.241713705693165,0.012,0.253071356790727,11.801757499575615,8.254402161789187e-10,1000000.0,0.0,25.0,378465.3333333333
159,160.0,1.1100617273581117,4.277149455045178e-05,4.81146508178403e-07,1.0,10.996387499726431,0.012,0.24169761271820533,10.000001072883606,0.03607559851548209,1000000.0,0.0,25.0,337982.6666666667
160,161.0,1.0665432360378773,3.557378273783896e-05,4.947119399131768e-07,1.0,9.030609948672847,0.012,0.23587958834789902,10.000000029802322,0.05347762804228107,1000000.0,0.0,25.0,337982.6666666667
161,162.0,1.1749011464750654,4.2073357018056884e-05,4.929941858460696e-07,1.0,10.308025807768871,0.012,0.19633303634866195,10.000160776078701,7.77248693184518e-09,1000000.0,0.0,25.0,517910.6666666667
162,163.0,1.0376799818759574,3.932376607818141e-05,4.253755664187611e-07,1.0,9.913110435867644,0.012,0.21122268871575045,49.775957338511944,1.7502700955240869e-09,1000000.0,0.0,25.0,616873.3333333334
163,164.0,1.1697729967650912,4.78101149107294e-05,5.138935117942028e-07,1.0,13.402874221212393,0.012,0.21343253080464564,10.000000111758709,1.0086959045807475e-10,1000000.0,0.0,25.0,436945.3333333333
164,165.0,1.0923804528545822,4.60376243235617e-05,4.920628106534354e-07,1.0,12.43047663339982,0.012,0.24789548333250622,10.000000067055225,0.018101724080017256,1000000.0,0.0,25.0,337982.6666666667
165,166.0,1.0130683781103518,4.2501143995513144e-05,4.981895794466584e-07,1.0,11.853743958612114,0.012,0.22742249905930834,10.000000342726707,4.1588066324038664e-10,1000000.0,0.0,25.0,418948.0
166,167.0,1.0975658514140436,4.8329181227428596e-05,4.1249182357356874e-07,1.0,13.211790045588778,0.012,0.2146878778406105,36.91758621484041,0.0002758899381184454,1000000.0,0.0,25.0,576390.6666666666
167,168.0,1.0858392795930965,5.063717515025691e-05,4.183574399517571e-07,1.0,13.61457804641929,0.012,0.23879595596299197,35.30732411146164,9.213888763071054e-09,1000000.0,0.0,25.0,477428.0
168,169.0,1.2091596452335116,4.180249374640834e-05,4.5612940317267e-07,1.0,11.500371186798063,0.012,0.22444616754611246,13.331665351986885,2.162082907153362e-08,1000000.0,0.0,25.0,477428.0
169,170.0,1.1627393866124895,5.014568125926119e-05,4.4477531640931786e-07,1.0,13.576164452728875,0.012,0.23040020306568465,32.368112333118916,2.1717197484782957e-09,1000000.0,0.0,25.0,477428.0
170,171.0,1.0982796924891352,5.892313675781641e-05,4.711238683468365e-07,1.0,15.977725702433723,0.012,0.21096089458963263,10.00000037252903,0.02613745424538,1000000.0,0.0,25.0,418948.0
171,172.0,1.1242826722880988,1.6415002937585902e-05,4.980756629996636e-06,1.0,1.4393414972984218,0.012,0.22222822581586144,10.0,0.05809961807165681,1000000.0,0.0,25.0,337982.6666666667
172,173.0,0.9202784878145703,5.8798674323240104e-05,4.813651613149136e-07,1.0,14.109318810147109,0.012,0.22844335758949796,10.000000238418579,0.01093007943113572,1000000.0,0.0,25.0,378465.3333333333
173,174.0,1.136001493814065,1.4982943601931753e-05,3.898331226704466e-06,1.0,1.523084658947539,0.012,0.22808988080237924,10.00000000745058,0.06945404465322114,1000000.0,0.0,25.0,337982.6666666667
174,175.0,1.199474751057913,1.856264642761329e-05,5.030036583017551e-06,1.0,1.367282652040437,0.012,0.2203437463240192,63.90293535590172,0.024829635108071235,1000000.0,0.0,25.0,477428.0
175,176.0,1.1065181899308258,4.473408147541317e-05,4.91139975879709e-07,1.0,12.642610278035946,0.012,0.2270716675665696,10.000015251338482,3.142227733565761e-08,1000000.0,0.0,25.0,418948.0
176,177.0,1.0904584697753246,4.343041630907559e-05,4.3496842198460187e-07,1.0,11.253922007095937,0.012,0.22480140966059992,10.000024683773518,6.326765000785883e-08,1000000.0,0.0,25.0,477428.0
177,178.0,1.1446179411706914,9.352150675760799e-05,3.925131218958768e-07,1.0,27.275055100794845,0.012,0.2371686344294659,10.000000029802322,0.057065736091953034,1000000.0,0.0,25.0,337982.6666666667
178,179.0,1.0608028359256427,4.870954583311569e-05,4.814713050478836e-07,1.0,13.77457534813518,0.012,0.22024479173355616,10.000000029802322,0.0025114285551036675,1000000.0,0.0,25.0,436945.3333333333
179,180.0,1.1705726834589738,3.507376569950019e-05,5.180931956737369e-07,1.0,9.432433230932624,0.012,0.1897570467058216,62.53922139108181,1.4535953496430665e-08,1000000.0,0.0,25.0,616873.3333333334
180,181.0,1.1593382030635848,1.639786213669422e-05,4.122583444659873e-06,1.0,1.470041031991002,0.012,0.23032771278656128,62.00260689854622,4.6572468104244535e-11,1000000.0,0.0,25.0,477428.0
181,182.0,1.1458060866011281,4.779614078076122e-05,5.019734160113508e-07,1.0,12.53939868928272,0.012,0.20169881872936202,10.000000312924385,1.0892303725640318e-10,1000000.0,0.0,25.0,477428.0
182,183.0,1.09364018801102,4.0831681283802914e-05,3.847775020747075e-07,1.0,10.636883150797296,0.012,0.23376695217769594,68.2141810581088,1.1189194015770454e-10,1000000.0,0.0,25.0,576390.6666666666
183,184.0,1.1593449938116882,1.5558782139758297e-05,3.152110298386025e-06,1.0,1.4523753338344747,0.012,0.2083830044787902,10.0,0.023417364535794405,1000000.0,0.0,25.0,436945.3333333333
184,185.0,1.1677877487107977,4.614286795548367e-05,5.159141760046013e-07,1.0,12.174822074523036,0.012,0.21259514643078603,10.00000087916851,7.074050234479046e-10,1000000.0,0.0,25.0,436945.3333333333
185,186.0,0.9873988215304911,4.214972852587576e-05,4.4272864414323174e-07,1.0,10.55817933618441,0.012,0.22360583410900148,10.000000700354576,1.2183856146208427e-09,1000000.0,0.0,25.0,477428.0
186,187.0,1.1519441699556614,3.978258058494525e-05,5.000107483916976e-07,1.0,10.522527836891477,0.012,0.23977619166620912,10.000000022351742,1.732320398240006e-10,1000000.0,0.0,25.0,378465.3333333333
187,188.0,1.0556643680919477,3.6268983449383946e-05,5.011786121693468e-07,1.0,9.105290492552982,0.012,0.204001063229299,94.05519177019596,5.884681630874411e-11,1000000.0,0.0,25.0,576390.6666666666
188,189.0,1.1619524990578034,4.702097127211602e-05,5.083109471568873e-07,1.0,12.411930031024312,0.012,0.22996735683084069,10.000000357627869,0.04069690150482064,1000000.0,0.0,25.0,337982.6666666667
189,190.0,1.0522573394864507,6.297599077125791e-05,5.004252613925798e-07,1.0,16.247312139409836,0.012,0.19165797896706493,10.00000049173832,7.567980686573605e-10,1000000.0,0.0,25.0,477428.0
190,191.0,0.9114465921861793,3.204159535474905e-05,4.900046539158809e-07,1.0,7.682445831336452,0.012,0.22139404923458983,12.82637745141983,1.169290775315801e-10,1000000.0,0.0,25.0,477428.0
191,192.0,1.1426320571985504,4.549677121462535e-05,4.83089162751491e-07,1.0,12.277168650977735,0.012,0.21219996821950105,12.110562272369862,1.9524334926579456e-09,1000000.0,0.0,25.0,477428.0
192,193.0,1.2440191829980698,1.54273021339113e-05,4.493212664231771e-06,1.0,1.5368646535413149,0.012,0.24141152079948824,10.00000013411045,0.1118851721827333,1000000.0,0.0,25.0,297500.0
193,194.0,1.1105677331059853,1.3672349629811106e-05,2.8903173111801807e-06,1.0,1.7032419488632016,0.012,0.23057828931498392,10.0,0.02137927249861077,1000000.0,0.0,25.0,378465.3333333333
194,195.0,1.094934734763935,4.392099587191487e-05,3.9945996446683817e-07,1.0,11.517065223547753,0.012,0.23858643248484412,231.7406090348959,2.4549401400619786e-10,1000000.0,0.0,25.0,616873.3333333334
195,196.0,0.9727150809477755,4.294835133661625e-05,4.99395226986165e-07,1.0,11.15940931530703,0.012,0.24262676967582308,16.50728116184473,5.166150007784864e-09,1000000.0,0.0,25.0,378465.3333333333
196,197.0,1.158534477936683,6.917493535816379e-05,3.932794253118152e-07,1.0,19.233092199673695,0.012,0.2460244892352108,10.000001221895218,0.059159871347830406,1000000.0,0.0,25.0,337982.6666666667
197,198.0,1.0707795607495532,4.3075876292363396e-05,5.116397842609588e-07,1.0,11.43853158715126,0.012,0.21039615202570872,21.732129335403442,1.590431186748731e-08,1000000.0,0.0,25.0,477428.0
198,199.0,1.1756142048391405,3.5382395892750204e-05,5.153706879420771e-07,1.0,9.001222370629627,0.012,0.19544858731580206,54.42627638578415,4.222200367109963e-11,1000000.0,0.0,25.0,576390.6666666666
199,200.0,1.1434908366460133,4.5163063473594275e-05,4.91046877271561e-07,1.0,12.728769239370983,0.012,0.20015162358361493,10.002485878765583,2.168488535736479e-06,1000000.0,0.0,25.0,517910.6666666667
200,201.0,1.0762745693257285,4.006976998980846e-05,4.519487108395627e-07,1.0,10.592052755249142,0.012,0.2340611327593365,27.800612822175026,2.387894659783285e-09,1000000.0,0.0,25.0,477428.0
201,202.0,1.1214448513844353,3.7569938947376995e-05,4.3321270378115704e-07,1.0,9.791177249534819,0.012,0.23987600147329857,210.55590897798538,3.958653405078394e-10,1000000.0,0.0,25.0,576390.6666666666
202,203.0,1.1195670417003818,4.291735053096633e-05,4.6376300778673253e-07,1.0,11.759572392246731,0.012,0.21210955589980784,16.390077158808708,4.4249768704762715e-07,1000000.0,0.0,25.0,517910.6666666667
203,204.0,1.1549970883476628,6.12183591909519e-05,4.188820457391772e-07,1.0,16.909020227653322,0.012,0.19867360119013,61.93518478423357,1.7298623644634858e-09,1000000.0,0.0,25.0,616873.3333333334
204,205.0,1.0534824526379545,4.153691998618506e-05,5.201609827798224e-07,1.0,10.243922932225018,0.012,0.19260759082876433,96.68796609342098,8.193588030280807e-10,1000000.0,0.0,25.0,576390.6666666666
205,206.0,1.0325481996080428,5.2166850771972404e-05,4.479358713649939e-07,1.0,14.640057469581109,0.012,0.2211529940087189,10.000000074505806,1.9019512909057568e-08,1000000.0,0.0,25.0,477428.0
206,207.0,1.120927525204634,4.5641016011271314e-05,4.876011401028896e-07,1.0,12.199428422460208,0.012,0.1982888984481903,10.000000424683094,5.261166502457115e-10,1000000.0,0.0,25.0,517910.6666666667
207,208.0,1.058993812673278,4.789452021331973e-05,5.066065713119145e-07,1.0,12.292683023821063,0.012,0.22758903857886992,10.000000193715096,0.04450197673187012,1000000.0,0.0,25.0,337982.6666666667
208,209.0,1.0977953794739455,4.227835239773551e-05,4.4898658598583984e-07,1.0,10.70093767891099,0.012,0.23393054568443006,10.000000186264515,0.002664105011479956,1000000.0,0.0,25.0,436945.3333333333
209,210.0,1.1185497455723277,4.8850299554216164e-05,5.073719208207811e-07,1.0,13.867723458221079,0.012,0.2257077418327711,10.00002720952034,0.01767421196356228,1000000.0,0.0,25.0,378465.3333333333
210,211.0,1.1372942429781265,4.642837098731051e-05,4.598305862045881e-07,1.0,12.442435308605639,0.012,0.23759863488541555,10.000000230967999,0.022629219232542352,1000000.0,0.0,25.0,378465.3333333333
